AMOSTRA,area,REP,COL,H,N,S,UR,T,D_EV1,F1_LC__m,F1_LP,F1_EL__m,F1_NP,F1_GP__m,F1_SP__m,F1_OC__m,D_EV2,F2_LC__m,F2_LP,F2_EL__m,F2_NP,F2_GP__m,F2_SP__m,F2_OC__m,D_EV3,F3_LC__m,F3_LP,F3_EL__m,F3_NP,F3_GP__m,F3_SP__m,F3_OC__m
S1a1,S1a,1,A,2.811,23,18,86.5,22.2,0.7730028215889662,1469700,0.435699039,20400,4,762300,9900,907200,0.802515108,4526100,0.334263875,68400,16,1985400,900,2735100,0.7417225885814537,7412400,0.243114798,148500,52,2211300,1800,3816000
S1a2,S1a,2,A,2.631,26,16,86.5,22.2,0.7730028215889662,1469700,0.435699039,20400,4,762300,9900,907200,0.802515108,4526100,0.334263875,68400,16,1985400,900,2735100,0.7417225885814537,7412400,0.243114798,148500,52,2211300,1800,3816000
S1a3,S1a,3,A,1.831,9,7,86.5,22.2,0.7730028215889662,1469700,0.435699039,20400,4,762300,9900,907200,0.802515108,4526100,0.334263875,68400,16,1985400,900,2735100,0.7417225885814537,7412400,0.243114798,148500,52,2211300,1800,3816000
S1a4,S1a,4,A,2.098,13,9,86.5,22.2,0.7730028215889662,1469700,0.435699039,20400,4,762300,9900,907200,0.802515108,4526100,0.334263875,68400,16,1985400,900,2735100,0.7417225885814537,7412400,0.243114798,148500,52,2211300,1800,3816000
S1b1,S1b,1,B,2.44,47,17,90,22.4,0.7940250670434098,908100,0.268422453,27240,12,319500,900,294300,0.8640112652837594,3613500,0.266671095,96960,34,1013400,900,1288800,0.8118385582080789,6522300,0.213819963,183660,72,1040400,900,2160000
S1b2,S1b,2,B,2.366,38,17,90,22.4,0.7940250670434098,908100,0.268422453,27240,12,319500,900,294300,0.8640112652837594,3613500,0.266671095,96960,34,1013400,900,1288800,0.8118385582080789,6522300,0.213819963,183660,72,1040400,900,2160000
S1b3,S1b,3,B,1.847,25,9,90,22.4,0.7940250670434098,908100,0.268422453,27240,12,319500,900,294300,0.8640112652837594,3613500,0.266671095,96960,34,1013400,900,1288800,0.8118385582080789,6522300,0.213819963,183660,72,1040400,900,2160000
S1b4,S1b,4,B,2.48,55,20,90,22.4,0.7940250670434098,908100,0.268422453,27240,12,319500,900,294300,0.8640112652837594,3613500,0.266671095,96960,34,1013400,900,1288800,0.8118385582080789,6522300,0.213819963,183660,72,1040400,900,2160000
S1c1,S1c,1,C,2.313,28,13,84.9,24.7,0.8268812492627846,656100,0.193986163,15840,6,553500,900,244800,0.8596454084318491,1953000,0.144272322,61020,36,621900,900,536400,0.869492254,4529700,0.1486722,135120,68,621900,900,1383300
S1c2,S1c,2,C,1.677,9,6,84.9,24.7,0.8268812492627846,656100,0.193986163,15840,6,553500,900,244800,0.8596454084318491,1953000,0.144272322,61020,36,621900,900,536400,0.869492254,4529700,0.1486722,135120,68,621900,900,1383300
