codigo,area,CLASSE,REP,COL,S,N,H,UR,T,D_EV1,F1_LC,Fsa1_LC (4),FCa1_LC (12),S1_LC (9),P1_LC (15),MU1_LC (21),NVeg1_LC (25),So1_LC (39),LT1_LC (41),C1_LC (46),Cit1_LC (47),LP1_LC (48),F1_LP,F1_EL,F1_NP,F1_GP,F1_SP,F1_OC,D_EV2,F2_LC,Fsa2_LC (4),FCa2_LC (12),S2_LC (9),P2_LC (15),MU2_LC (21),NVeg2_LC (25),So2_LC (39),LT2_LC (41),C2_LC (46),LP2_LC (48),Cit2_LC (47),F2_LP,F2_EL,F2_NP,F2_GP,F2_SP,F2_OC,D_EV3,F3_LC__m,Fsa3_LC (4),S3_LC (9),FCa3_LC (12),P3_LC (15),MU3_LC (21),NVeg3_LC (25),So3_LC (39),LT3_LC (41),C3_LC (46),LP3_LC (48),Cit3_LC (47),F3_LP,F3_EL,F3_NP,F3_GP,F3_SP,F3_OC
C1b1,C1b,café,1,B,13,15,2.523,87.4,21.1,0.7750241945417234,1747800,0,0,0,415800,645300,0,0,18900,567000,0,0,0.514846235,21780,6,1675800,4500,1161900,0.7501680471622306,5508000,0,0,0,3592800,2619000,0,0,175500,1708200,0,0,0.404681611,63000,21,5076000,900,3861900,0.7637148191339488,9283500,0,0,0,9324900,6388200,23400,7200,1128600,4041000,0,0,0.302856807,120480,45,8197200,900,6219900
C1b2,C1b,café,2,B,6,6,1.792,87.4,21.1,0.7750241945417234,1747800,0,0,0,415800,645300,0,0,18900,567000,0,0,0.514846235,21780,6,1675800,4500,1161900,0.7501680471622306,5508000,0,0,0,3592800,2619000,0,0,175500,1708200,0,0,0.404681611,63000,21,5076000,900,3861900,0.7637148191339488,9283500,0,0,0,9324900,6388200,23400,7200,1128600,4041000,0,0,0.302856807,120480,45,8197200,900,6219900
C1b3,C1b,café,3,B,10,11,2.272,87.4,21.1,0.7750241945417234,1747800,0,0,0,415800,645300,0,0,18900,567000,0,0,0.514846235,21780,6,1675800,4500,1161900,0.7501680471622306,5508000,0,0,0,3592800,2619000,0,0,175500,1708200,0,0,0.404681611,63000,21,5076000,900,3861900,0.7637148191339488,9283500,0,0,0,9324900,6388200,23400,7200,1128600,4041000,0,0,0.302856807,120480,45,8197200,900,6219900
C1b4,C1b,café,4,B,6,6,1.792,87.4,21.1,0.7750241945417234,1747800,0,0,0,415800,645300,0,0,18900,567000,0,0,0.514846235,21780,6,1675800,4500,1161900,0.7501680471622306,5508000,0,0,0,3592800,2619000,0,0,175500,1708200,0,0,0.404681611,63000,21,5076000,900,3861900,0.7637148191339488,9283500,0,0,0,9324900,6388200,23400,7200,1128600,4041000,0,0,0.302856807,120480,45,8197200,900,6219900
C1c1,C1c,café,1,C,4,6,1.33,87.7,22.9,0.872166265,660600,0,0,278100,160200,279900,9000,228600,147600,1608300,10800,0,0.195264698,20820,10,343800,1800,164700,0.8171995899527635,2418300,0,108900,720000,646200,1796400,36000,2551500,1348200,3882600,0,45900,0.178419655,71640,22,834300,8100,700200,0.7550306649480034,4992300,0,1164600,362700,2149200,5148000,87300,7748100,3028500,5759100,1800,45900,0.163662113,142260,60,1154700,900,1613700
C1c2,C1c,café,2,C,8,8,2.079,87.7,22.9,0.872166265,660600,0,0,278100,160200,279900,9000,228600,147600,1608300,10800,0,0.195264698,20820,10,343800,1800,164700,0.8171995899527635,2418300,0,108900,720000,646200,1796400,36000,2551500,1348200,3882600,0,45900,0.178419655,71640,22,834300,8100,700200,0.7550306649480034,4992300,0,1164600,362700,2149200,5148000,87300,7748100,3028500,5759100,1800,45900,0.163662113,142260,60,1154700,900,1613700
C1c3,C1c,café,3,C,7,10,1.834,87.7,22.9,0.872166265,660600,0,0,278100,160200,279900,9000,228600,147600,1608300,10800,0,0.195264698,20820,10,343800,1800,164700,0.8171995899527635,2418300,0,108900,720000,646200,1796400,36000,2551500,1348200,3882600,0,45900,0.178419655,71640,22,834300,8100,700200,0.7550306649480034,4992300,0,1164600,362700,2149200,5148000,87300,7748100,3028500,5759100,1800,45900,0.163662113,142260,60,1154700,900,1613700
C1c4,C1c,café,4,C,1,1,0,87.7,22.9,0.872166265,660600,0,0,278100,160200,279900,9000,228600,147600,1608300,10800,0,0.195264698,20820,10,343800,1800,164700,0.8171995899527635,2418300,0,108900,720000,646200,1796400,36000,2551500,1348200,3882600,0,45900,0.178419655,71640,22,834300,8100,700200,0.7550306649480034,4992300,0,1164600,362700,2149200,5148000,87300,7748100,3028500,5759100,1800,45900,0.163662113,142260,60,1154700,900,1613700
C2a1,C2a,café,1,A,15,18,2.659,85.7,21.8,0.7116814038339198,590400,0,0,39600,321300,272700,0,36000,117900,2003400,0,0,0.1746074,14880,6,380700,10800,227700,0.8403033724312361,2811600,7200,4500,944100,1671300,2180700,0,696600,661500,4563000,0,0,0.207643735,64980,31,824400,900,1287900,0.8179739137595916,6519600,65700,1778400,36900,4073400,5289300,0,2321100,1180800,9216900,4500,0,0.213851331,150780,61,1707300,900,2944800
C2a2,C2a,café,2,A,19,24,2.867,85.7,21.8,0.7116814038339198,590400,0,0,39600,321300,272700,0,36000,117900,2003400,0,0,0.1746074,14880,6,380700,10800,227700,0.8403033724312361,2811600,7200,4500,944100,1671300,2180700,0,696600,661500,4563000,0,0,0.207643735,64980,31,824400,900,1287900,0.8179739137595916,6519600,65700,1778400,36900,4073400,5289300,0,2321100,1180800,9216900,4500,0,0.213851331,150780,61,1707300,900,2944800
